fuel_type_code,station_name,street_address,city,state_abbr,zip,status_code,groups_with_access_code,access_days_time,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,latitude,longitude,ev_pricing,county,geoid
ELEC,Pacific Vista,25500 - 25550 Commercentre Drive,Lake Forest,CA,92630,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,4,,33.6643337,-117.6857882,FREE,Orange,12095
ELEC,Pacific Vista,25500 - 25550 Commercentre Drive,Lake Forest,CA,92630,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,4,,33.6643337,-117.6857882,FREE,Orange,06059
ELEC,FRONT BUILDING FRONT BLDNG 1,4202 Stevens Creek Blvd,San Jose,CA,95129,E,Public,24 hours daily,,1,,37.322696,-121.976149,,Santa Clara,06085
ELEC,13076 W Sherman Way,13076 W Sherman Way,Los Angeles,CA,91405,E,Public,24 hours daily,,1,,34.20111,-118.41762,,Los Angeles,06037
ELEC,20124 Sherman Way,20750 Sherman Way,Los Angeles,CA,91306,E,Public,24 hours daily,,1,,34.20123,-118.58566,,Los Angeles,06037
ELEC,1751 Westwood Blvd,1751 Westwood Blvd,Los Angeles,CA,90024,E,Public,24 hours daily,,1,,34.05136,-118.43854,,Los Angeles,06037
ELEC,AAB RESIDENTIAL RESIDENTIAL 2,889 Americana Way,Glendale,CA,91210,E,Public,24 hours daily,,2,,34.143792,-118.255937,,Los Angeles,06037
ELEC,AAB RESIDENTIAL RESIDENTIAL 1,889 Americana Way,Glendale,CA,91210,E,Public,24 hours daily,,2,,34.143733,-118.25629,,Los Angeles,06037
ELEC,CBRE - Seaport Centre,700 Chesapeake Dr.,Redwood City,CA,94063,E,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,1,,37.500499,-122.21345,Level 2: $0.39 per kWh,San Mateo,06081
ELEC,The Lamont Apartments,4455 Lamont Street,San Diego,CA,92109,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,1,,32.8003321,-117.2349199,$1.50/Hr Parking Fee,San Diego,06073
ELEC,"Regency Seal Beach Center (Seal Beach, CA)",901-1101 Pacific Coast Hwy,Seal Beach,CA,90740,E,Public,24 hours daily,,,4,33.744827,-118.09959,,Orange,51137
ELEC,"Regency Seal Beach Center (Seal Beach, CA)",901-1101 Pacific Coast Hwy,Seal Beach,CA,90740,E,Public,24 hours daily,,,4,33.744827,-118.09959,,Orange,50017
ELEC,"Regency Seal Beach Center (Seal Beach, CA)",901-1101 Pacific Coast Hwy,Seal Beach,CA,90740,E,Public,24 hours daily,,,4,33.744827,-118.09959,,Orange,48361
ELEC,"Regency Seal Beach Center (Seal Beach, CA)",901-1101 Pacific Coast Hwy,Seal Beach,CA,90740,E,Public,24 hours daily,,,4,33.744827,-118.09959,,Orange,37135
ELEC,"Regency Seal Beach Center (Seal Beach, CA)",901-1101 Pacific Coast Hwy,Seal Beach,CA,90740,E,Public,24 hours daily,,,4,33.744827,-118.09959,,Orange,36071
ELEC,"Regency Seal Beach Center (Seal Beach, CA)",901-1101 Pacific Coast Hwy,Seal Beach,CA,90740,E,Public,24 hours daily,,,4,33.744827,-118.09959,,Orange,18117
ELEC,"Regency Seal Beach Center (Seal Beach, CA)",901-1101 Pacific Coast Hwy,Seal Beach,CA,90740,E,Public,24 hours daily,,,4,33.744827,-118.09959,,Orange,12095
ELEC,"Regency Seal Beach Center (Seal Beach, CA)",901-1101 Pacific Coast Hwy,Seal Beach,CA,90740,E,Public,24 hours daily,,,4,33.744827,-118.09959,,Orange,06059
ELEC,Cesar E. Chavez Campus (SDCC) ADA Stall,1901 Main Street,San Diego,CA,92113,E,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,1,,32.698527,-117.146526,Level 2: $0.59 per kWh,San Diego,06073
ELEC,Growers Square Garage - Level 3,1646 N. California Blvd.,Walnut Creek,CA,94596,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,6,,37.9020256,-122.0638142,$1.00-$5.00/Hr Variable Parking Fee,Contra Costa,06013
ELEC,G1A P1C,2600 Shattuck Ave,Berkeley,CA,94704,E,Public,24 hours daily,,1,,37.861517,-122.267566,,Alameda,06001
ELEC,G1A P1A,2600 Shattuck Ave,Berkeley,CA,94704,E,Public,24 hours daily,,1,,37.861532,-122.267613,,Alameda,06001
ELEC,DC CORRIDOR LODI SHELL DC2,6437 W Banner Street,Lodi,CA,95242,E,Public,24 hours daily,,,1,38.114878,-121.394718,,San Joaquin,06077
ELEC,TEMPLE CITY PRIMROSE 1,5928 Primrose Ave,Temple City,CA,91780,E,Public,Mon 6:00am - 10:00pm; Tue 6:00am - 10:00pm; Wed 6:00am - 10:00pm; Thu 6:00am - 10:00pm; Fri 6:00am - 10:00pm; Sat 6:00am - 10:00pm; Sun 6:00am - 10:00pm,,2,,34.107824,-118.06247,,Los Angeles,06037
ELEC,CEPHEID STATION 7.1,1324 Chesapeake Terrace,Sunnyvale,CA,94089,E,Public,24 hours daily,,2,,37.41096,-122.001623,,Santa Clara,06085
ELEC,USMC USMC 3,2249 48th St,Sacramento,CA,95817,E,Public,24 hours daily,,2,,38.554069,-121.450103,,Sacramento,06067
